C1, 11.25, 6.75, 270.00, 1u, C0603
C10, 14.50, 18.00, 180.00, 1u, C0603
C11, 14.50, 15.50, 270.00, 100n, C0603
C12, 8.50, 15.50, 270.00, 1u, C0603
C13, 15.50, 4.50, 270.00, 100n, C0603
C14, 25.50, 2.75, 270.00, 12p, C0603
C2, 17.50, 2.75, 270.00, 100n, C0603
C3, 18.25, 16.00, 0.00, 100n, C0603
C4, 26.50, 7.75, 270.00, 100n, C0603
C5, 22.75, 16.00, 180.00, 100n, C0603
C7, 32.75, 5.50, 90.00, 1n, C0603
C8, 19.50, 2.75, 270.00, 12p, C0603
C9, 8.50, 1.75, 180.00, 22u, C0805
D1, 29.75, 16.00, 0.00, LTST-C171KSKT, CHIPLED_0805
D2, 3.00, 18.50, 90.00, LTST-C171KSKT, CHIPLED_0805
F1, 9.25, 6.50, 270.00, MF-PSMF035X-2, F0805
J1, 3.96, 10.00, 270.00, , USB-C-16P
Q1, 31.75, 12.25, 90.00, DMN3404L, SOT23
R1, 11.25, 9.50, 0.00, 22R, R0603
R2, 11.25, 11.50, 0.00, 22R, R0603
R3, 28.00, 16.00, 90.00, 1k, R0603
R4, 32.50, 16.25, 270.00, 1k, R0603
R5, 4.50, 4.00, 180.00, 5.1k, R0603
R6, 4.50, 16.00, 180.00, 5.1k, R0603
R7, 25.75, 16.00, 90.00, 100k, R0603
R8, 13.50, 4.50, 270.00, 100k, R0603
R9, 7.50, 18.50, 180.00, 1k, R0603
S1, 29.75, 5.75, 270.00, TS-1101-C-W, SPST-6X3.6
U1, 20.50, 10.00, 0.00, MEGA32U4-MU, TQFN44_7MM
U2, 11.51, 15.50, 270.00, RT9193-33GB, SOT23-5
Y1, 22.50, 2.75, 180.00, 830069392, WE-XTAL_CFPX-218
